"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length2"
"1","casual","Sunday",33.3785549724467
"2","member","Sunday",14.0887854076278
"3","casual","Monday",28.9214749207666
"4","member","Monday",12.1138179663907
"5","casual","Tuesday",26.9170422876975
"6","member","Tuesday",12.1620130808227
"7","casual","Wednesday",25.8537258790329
"8","member","Wednesday",11.8643003600475
"9","casual","Thursday",25.5190231001943
"10","member","Thursday",12.0818128872722
"11","casual","Friday",27.9222366877032
"12","member","Friday",12.5028842105263
"13","casual","Saturday",33.8871129393514
"14","member","Saturday",14.2484078678354
